"OBJECTID,C,10","AREA,N,19,11","PERIMETER,N,19,11","EL2004P020,N,19,11","STATE,C,2","COUNTY,C,50","FIPS,C,5","STATE_FIPS,C,12","VOTE_DEM,C,10","VOTE_REP,C,10","VOTE_OTH,C,11","PERCENT_DE,C,15","PERCENT_RE,C,15","PERCENT_OT,C,15","SYMBOL_COD,C,15","TOTAL_VOTE,C,15"
1,7.00989775164,18.21132220740,8.00000000000,AK,"State House District 8, Denali-University",02008,02,5758,6615,569,44.5,51.1,4.4,4,12942
2,16.63660476100,168.79168589000,37.00000000000,AK,"State House District 37, Bristol Bay-Aleuti",02037,02,5208,3046,192,61.7,36,2.3,8,8446
3,12.09089203520,36.21083044640,12.00000000000,AK,"State House District 12, Richardson-Glenn H",02012,02,3387,8108,350,28.5,68.5,3,3,11845
4,0.04366466451,1.30727326939,13.00000000000,AK,"State House District 13, Greater Palmer",02013,02,4819,10702,491,30.1,66.8,3.1,3,16012
5,0.02558350938,1.04082264622,14.00000000000,AK,"State House District 14, Greater Wasilla",02014,02,4403,10717,428,28.3,68.9,2.8,3,15548
6,0.48042708304,4.74241903138,16.00000000000,AK,"State House District 16, Chugiak-South Mat-",02016,02,4791,10587,472,30.2,66.7,3.1,3,15850
7,5.94723202211,13.48898530840,15.00000000000,AK,"State House District 15, Rural Mat-Su",02015,02,4766,10058,576,30.9,65.3,3.8,3,15400
8,16.29716640810,84.73371553830,39.00000000000,AK,"State House District 39, Bering Straits",02039,02,2365,2881,322,42.5,51.7,5.8,4,5568
9,73.34673323900,148.70352326600,40.00000000000,AK,"State House District 40, Arctic",02040,02,2328,3217,243,40.2,55.6,4.2,4,5788
10,1.93101139166,64.25102825590,2.00000000000,AK,"State House District 2, Sitka-Wrangell-Pete",02002,02,4961,5943,498,43.5,52.1,4.4,4,11402
11,0.83823994675,9.61397784300,3.00000000000,AK,"State House District 3, Juneau-Downtown-Dou",02003,02,6513,4790,445,55.4,40.8,3.8,9,11748
