fips,county,state,candidate,vote
10003,New Castle,DE,Obama,167082
10001,Kent,DE,Obama,35527
10005,Sussex,DE,Obama,39975
10003,New Castle,DE,Romney,81230
10001,Kent,DE,Romney,32135
10005,Sussex,DE,Romney,52119
10003,New Castle,DE,Other,1198
10001,Kent,DE,Other,333
10005,Sussex,DE,Other,409
10003,New Castle,DE,Other,2486
10001,Kent,DE,Other,677
10005,Sussex,DE,Other,719
25023,Plymouth,MA,Obama,131845
25023,Plymouth,MA,Romney,121086
25023,Plymouth,MA,Other,2103
25023,Plymouth,MA,Other,939
25023,Plymouth,MA,Other,558
25017,Middlesex,MA,Obama,471804
25017,Middlesex,MA,Romney,267321
25017,Middlesex,MA,Other,7763
25017,Middlesex,MA,Other,5759
25017,Middlesex,MA,Other,1523
25005,Bristol,MA,Obama,142962
25005,Bristol,MA,Romney,93752
25005,Bristol,MA,Other,2645
25005,Bristol,MA,Other,1647
25005,Bristol,MA,Other,503
25003,Berkshire,MA,Obama,48843
25003,Berkshire,MA,Romney,14252
25003,Berkshire,MA,Other,729
25003,Berkshire,MA,Other,557
25003,Berkshire,MA,Other,105
25013,Hampden,MA,Obama,123619
25013,Hampden,MA,Romney,73392
25013,Hampden,MA,Other,1866
25013,Hampden,MA,Other,1083
25013,Hampden,MA,Other,439
25009,Essex,MA,Obama,210302
25009,Essex,MA,Romney,150480
25009,Essex,MA,Other,3452
25009,Essex,MA,Other,1460
25009,Essex,MA,Other,663
25015,Hampshire,MA,Obama,57359
25015,Hampshire,MA,Romney,21480
25015,Hampshire,MA,Other,974
25015,Hampshire,MA,Other,1576
25015,Hampshire,MA,Other,232
25007,Dukes,MA,Obama,7978
25007,Dukes,MA,Romney,2792
25007,Dukes,MA,Other,80
25007,Dukes,MA,Other,90
25007,Dukes,MA,Other,28
25027,Worcester,MA,Obama,198244
25027,Worcester,MA,Romney,163390
25027,Worcester,MA,Other,4381
25027,Worcester,MA,Other,2158
25027,Worcester,MA,Other,939
25011,Franklin,MA,Obama,27072
25011,Franklin,MA,Romney,9344
25011,Franklin,MA,Other,459
25011,Franklin,MA,Other,781
25011,Franklin,MA,Other,102
25021,Norfolk,MA,Obama,202714
25021,Norfolk,MA,Romney,148393
25021,Norfolk,MA,Other,3050
25021,Norfolk,MA,Other,1641
25021,Norfolk,MA,Other,725
25001,Barnstable,MA,Obama,70822
25001,Barnstable,MA,Romney,60446
25001,Barnstable,MA,Other,970
25001,Barnstable,MA,Other,707
25001,Barnstable,MA,Other,170
25025,Suffolk,MA,Obama,223896
25025,Suffolk,MA,Romney,59999
25025,Suffolk,MA,Other,2388
25025,Suffolk,MA,Other,2269
25025,Suffolk,MA,Other,546
25019,Nantucket,MA,Obama,3830
25019,Nantucket,MA,Romney,2187
25019,Nantucket,MA,Other,60
25019,Nantucket,MA,Other,24
25019,Nantucket,MA,Other,19
11001,District of Columbia,DC,Obama,267070
11001,District of Columbia,DC,Romney,21381
11001,District of Columbia,DC,Other,2083
11001,District of Columbia,DC,Other,2458
11001,District of Columbia,DC,Other,772
09001,Fairfield,CT,Romney,175168
09001,Fairfield,CT,Obama,217294
09001,Fairfield,CT,Other,1010
09001,Fairfield,CT,Other,2644
09003,Hartford,CT,Romney,143238
09003,Hartford,CT,Obama,244639
09003,Hartford,CT,Other,1183
09003,Hartford,CT,Other,2959
09005,Litchfield,CT,Romney,47201
09005,Litchfield,CT,Obama,43856
09005,Litchfield,CT,Other,364
09005,Litchfield,CT,Other,891
09007,Middlesex,CT,Romney,34591
09007,Middlesex,CT,Obama,47855
09007,Middlesex,CT,Other,293
09007,Middlesex,CT,Other,753
09009,New Haven,CT,Romney,138357
09009,New Haven,CT,Obama,218972
09009,New Haven,CT,Other,1013
09009,New Haven,CT,Other,2490
09011,New london,CT,Romney,46119
09011,New london,CT,Obama,67144
09011,New london,CT,Other,586
09011,New london,CT,Other,1244
09013,Tolland,CT,Romney,30450
09013,Tolland,CT,Obama,39366
09013,Tolland,CT,Other,282
09013,Tolland,CT,Other,830
09015,Windham,CT,Romney,19768
09015,Windham,CT,Obama,25957
09015,Windham,CT,Other,240
09015,Windham,CT,Other,529
16001,Ada,ID,Other,636
16001,Ada,ID,Other,477
16001,Ada,ID,Other,3422
16001,Ada,ID,Obama,77137
16001,Ada,ID,Romney,97554
16001,Ada,ID,Other,1320
16003,Adams,ID,Other,11
16003,Adams,ID,Other,8
16003,Adams,ID,Other,28
16003,Adams,ID,Obama,577
16003,Adams,ID,Romney,1413
16003,Adams,ID,Other,23
16005,Bannock,ID,Other,218
16005,Bannock,ID,Other,102
16005,Bannock,ID,Other,442
16005,Bannock,ID,Obama,13214
16005,Bannock,ID,Romney,21010
16005,Bannock,ID,Other,274
16007,Bear Lake,ID,Other,6
16007,Bear Lake,ID,Other,11
16007,Bear Lake,ID,Other,9
16007,Bear Lake,ID,Obama,302
16007,Bear Lake,ID,Romney,2489
16007,Bear Lake,ID,Other,5
16009,Benewah,ID,Other,16
16009,Benewah,ID,Other,28
16009,Benewah,ID,Other,46
16009,Benewah,ID,Obama,1164
16009,Benewah,ID,Romney,2596
16009,Benewah,ID,Other,34
16011,Bingham,ID,Other,50
16011,Bingham,ID,Other,50
16011,Bingham,ID,Other,155
16011,Bingham,ID,Obama,3822
16011,Bingham,ID,Romney,13440
16011,Bingham,ID,Other,86
16013,Blaine,ID,Other,40
16013,Blaine,ID,Other,8
16013,Blaine,ID,Other,167
16013,Blaine,ID,Obama,5992
16013,Blaine,ID,Romney,3939
16013,Blaine,ID,Other,48
16015,Boise,ID,Other,11
16015,Boise,ID,Other,11
16015,Boise,ID,Other,63
16015,Boise,ID,Obama,1053
16015,Boise,ID,Romney,2284
16015,Boise,ID,Other,23
16017,Bonner,ID,Other,70
16017,Bonner,ID,Other,100
16017,Bonner,ID,Other,322
16017,Bonner,ID,Obama,6500
16017,Bonner,ID,Romney,11367
16017,Bonner,ID,Other,177
16019,Bonneville,ID,Other,157
16019,Bonneville,ID,Other,106
16019,Bonneville,ID,Other,536
16019,Bonneville,ID,Obama,9903
16019,Bonneville,ID,Romney,32276
16019,Bonneville,ID,Other,235
16021,Boundary,ID,Other,22
16021,Boundary,ID,Other,34
16021,Boundary,ID,Other,77
16021,Boundary,ID,Obama,1225
16021,Boundary,ID,Romney,3138
16021,Boundary,ID,Other,48
16023,Butte,ID,Other,7
16023,Butte,ID,Other,4
16023,Butte,ID,Other,8
16023,Butte,ID,Obama,258
16023,Butte,ID,Romney,1001
16023,Butte,ID,Other,8
16025,Camas,ID,Other,4
16025,Camas,ID,Other,1
16025,Camas,ID,Other,7
16025,Camas,ID,Obama,159
16025,Camas,ID,Romney,402
16025,Camas,ID,Other,5
16027,Canyon,ID,Other,242
16027,Canyon,ID,Other,228
16027,Canyon,ID,Other,945
16027,Canyon,ID,Obama,19866
16027,Canyon,ID,Romney,44369
16027,Canyon,ID,Other,440
16029,Caribou,ID,Other,18
16029,Caribou,ID,Other,11
16029,Caribou,ID,Other,21
16029,Caribou,ID,Obama,386
