fips,county,state,trump,clinton
1073,Jefferson,Alabama,134768,156873
1097,Mobile,Alabama,95116,72186
1089,Madison,Alabama,89520,62822
1117,Shelby,Alabama,73020,22977
1101,Montgomery,Alabama,34003,58916
1003,Baldwin,Alabama,72883,18458
1125,Tuscaloosa,Alabama,47723,31762
1081,Lee,Alabama,34617,21230
1103,Morgan,Alabama,37486,11254
1015,Calhoun,Alabama,32865,13242
1055,Etowah,Alabama,32353,10442
1069,Houston,Alabama,30728,10664
1083,Limestone,Alabama,29067,9468
1077,Lauderdale,Alabama,27899,9952
1115,St. Clair,Alabama,31651,5589
1043,Cullman,Alabama,32989,3798
1051,Elmore,Alabama,27634,8443
1095,Marshall,Alabama,29233,4917
1121,Talladega,Alabama,20614,12121
1127,Walker,Alabama,24266,4497
1049,DeKalb,Alabama,21405,3622
1009,Blount,Alabama,22859,2156
1001,Autauga,Alabama,18172,5936
1033,Colbert,Alabama,16746,7312
1071,Jackson,Alabama,16672,3673
1031,Coffee,Alabama,15875,4221
1123,Tallapoosa,Alabama,13594,5519
1113,Russell,Alabama,9210,9579
1047,Dallas,Alabama,5789,12836
1045,Dale,Alabama,13808,4413
1021,Chilton,Alabama,15081,2911
1039,Covington,Alabama,13267,2387
1053,Escambia,Alabama,9935,4605
1079,Lawrence,Alabama,10833,3627
1017,Chambers,Alabama,7843,5784
1109,Pike,Alabama,7693,5056
1025,Clarke,Alabama,7140,5749
1093,Marion,Alabama,11274,1432
1059,Franklin,Alabama,9466,2197
1061,Geneva,Alabama,9994,1525
1091,Marengo,Alabama,5233,5615
1019,Cherokee,Alabama,8953,1547
1005,Barbour,Alabama,5454,4871
1133,Winston,Alabama,9228,872
1099,Monroe,Alabama,5795,4332
1111,Randolph,Alabama,7705,2291
1107,Pickens,Alabama,5456,3972
1087,Macon,Alabama,1431,7566
1007,Bibb,Alabama,6738,1874
1013,Butler,Alabama,4901,3726
1129,Washington,Alabama,6042,2374
1057,Fayette,Alabama,6712,1362
1067,Henry,Alabama,5632,2292
1065,Hale,Alabama,3173,4775
1023,Choctaw,Alabama,4106,3109
1075,Lamar,Alabama,5823,1036
1085,Lowndes,Alabama,1751,4883
1027,Clay,Alabama,5245,1237
1029,Cleburne,Alabama,5764,684
1035,Conecuh,Alabama,3420,3080
1119,Sumter,Alabama,1581,4746
1041,Crenshaw,Alabama,4513,1664
