CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
AK-AL,"Young, Don",Rep,37.6,52.8,41.2,55.3,38.1,59.7
AL-01,"Byrne, Bradley",Rep,34.1,63.5,37.4,61.8,38.5,60.9
AL-02,"Roby, Martha",Rep,33,64.9,36.4,62.9,35,64.5
AL-03,"Rogers, Mike D.",Rep,32.3,65.3,36.8,62.3,36.6,62.6
AL-04,"Aderholt, Rob",Rep,17.4,80.4,24,74.8,25.5,73.3
AL-05,"Brooks, Mo",Rep,31.3,64.7,34.9,63.9,36.3,62.6
AL-06,"Palmer, Gary",Rep,26.1,70.8,24.7,74.3,25,74.1
AL-07,"Sewell, Terri",Dem,69.8,28.6,72.4,27.1,71.5,28.1
AR-01,"Crawford, Rick",Rep,30.2,65,36.3,61,39.2,58
AR-02,"Hill, French",Rep,41.7,52.4,42.9,54.7,44.3,53.8
AR-03,"Womack, Steve",Rep,30.5,61.9,31.6,65.5,33.9,63.7
AR-04,"Westerman, Bruce",Rep,31.3,64.2,35.9,61.8,37.4,59.9
AZ-01,"O'Halleran, Tom",Dem,46.6,47.7,47.9,50.4,47.8,51
AZ-02,"McSally, Martha",Rep,49.6,44.7,48.4,49.9,48.9,49.8
AZ-03,"Grijalva, Raul",Dem,62.4,32.5,61.4,36.9,58.2,40.7
AZ-04,"Gosar, Paul",Rep,27.5,67.7,31,67.2,34.4,64.2
AZ-05,"Biggs, Andy",Rep,36.5,57.6,34.6,63.8,36.3,62.6
AZ-06,"Schweikert, David",Rep,42.4,52.4,38.8,59.5,41.2,57.7
AZ-07,"Gallego, Ruben",Dem,71.8,22.6,71.7,26.5,64.7,34.1
AZ-08,"Franks, Trent",Rep,37,58.1,36.9,61.7,38.4,60.6
AZ-09,"Sinema, Kyrsten",Dem,54.7,38.4,51.1,46.6,51.3,47.4
CA-01,"LaMalfa, Doug",Rep,36.5,56.2,40.3,56.6,42,53
CA-02,"Huffman, Jared",Dem,69,23.3,69,27,71,25
CA-03,"Garamendi, John",Dem,53,40.4,54.3,43.1,55,42
CA-04,"McClintock, Tom",Rep,39.3,54,39.5,57.9,43,54
CA-05,"Thompson, Mike",Dem,69.2,24.3,69.7,27.5,70,26
CA-06,"Matsui, Doris",Dem,69.2,24.4,69.1,28.3,68,29
CA-07,"Bera, Ami",Dem,52.3,40.9,50.8,46.8,51,46
CA-08,"Cook, Paul",Rep,39.6,54.7,41.7,55.6,42,55
CA-09,"McNerney, Jerry",Dem,56.6,38,57.8,40.1,56,41
CA-10,"Denham, Jeff",Rep,48.5,45.5,50.6,47,50,47
CA-11,"DeSaulnier, Mark",Dem,71.5,22.7,67.6,30,69,28
CA-12,"Pelosi, Nancy",Dem,86.2,8.7,84.1,12.5,84,13
CA-13,"Lee, Barbara",Dem,87.4,6.8,87.5,9,87,10
CA-14,"Speier, Jackie",Dem,76.9,18.2,74.2,23.6,73,24
CA-15,"Swalwell, Eric",Dem,69.9,24.2,68,29.8,67,30
CA-16,"Costa, Jim",Dem,58,36.4,58.6,39.4,57,40
CA-17,"Khanna, Ro",Dem,73.9,20.5,71.9,25.5,69,28
CA-18,"Eshoo, Anna",Dem,73.4,20.2,68.2,28.9,70,27
CA-19,"Lofgren, Zoe",Dem,72.9,21.5,71.2,26.5,68,29
CA-20,"Panetta, Jimmy",Dem,70.4,23.2,70.9,26.2,71,26
CA-21,"Valadao, David",Rep,55.2,39.7,54.6,43.5,52,46
CA-22,"Nunes, Devin",Rep,42.6,52.1,41.6,56.6,42,55
CA-23,"McCarthy, Kevin",Rep,36.1,58.1,36.1,61.5,36,61
CA-24,"Carbajal, Salud",Dem,56.7,36.5,54.1,43.1,56,41
CA-25,"Knight, Steve",Rep,50.3,43.6,47.8,49.7,49,48
CA-26,"Brownley, Julia",Dem,57.9,36,54,43.7,56,41
CA-27,"Chu, Judy",Dem,66,28.4,62.6,35,61,35
CA-28,"Schiff, Adam",Dem,72.1,22.3,70.3,26.5,70,26
CA-29,"Cardenas, Tony",Dem,77.7,16.8,77,20.5,74,23
CA-30,"Sherman, Brad",Dem,69.1,25.7,65.3,32.1,66,31
CA-31,"Aguilar, Pete",Dem,57.7,36.6,57.2,40.6,56,41
CA-32,"Napolitano, Grace",Dem,66.6,27.7,65.2,32.5,62,35
CA-33,"Lieu, Ted",Dem,67.8,26.5,60.6,36.8,64,33
CA-34,,Dem,83.6,10.7,83,14.1,77,19
CA-35,"Torres, Norma",Dem,67.7,26.9,67.4,30.6,64,32
CA-36,"Ruiz, Raul",Dem,52.2,43.4,50.7,47.5,50,47
CA-37,"Bass, Karen",Dem,85.7,9.6,84.9,12.7,84,13
CA-38,"Sanchez, Linda",Dem,67,27.4,64.9,33,61,35
CA-39,"Royce, Ed",Rep,51.5,42.9,47.1,50.8,47,49
CA-40,"Roybal-Allard, Lucille",Dem,82.2,12.8,81.5,16.5,77,19
CA-41,"Takano, Mark",Dem,61,33.1,61.5,36.3,59,38
CA-42,"Calvert, Ken",Rep,41.4,53.4,41.4,56.5,43,54
CA-43,"Waters, Maxine",Dem,78.4,16.7,78,20,75,22
CA-44,"Barragan, Nanette",Dem,83,12.3,84.7,13.6,81,16
CA-45,"Walters, Mimi",Rep,49.8,44.4,43,54.8,46,51
CA-46,"Correa, Lou",Dem,66.3,27.9,61.4,36.2,58,39
CA-47,"Lowenthal, Alan",Dem,62.6,31,60,37.5,58,39
CA-48,"Rohrabacher, Dana",Rep,47.9,46.2,43,54.7,46,51
CA-49,"Issa, Darrell",Rep,50.7,43.2,45.7,52.4,49,48
CA-50,"Hunter, Duncan",Rep,39.6,54.6,37.6,60.4,39,58
CA-51,"Vargas, Juan",Dem,71.8,22.8,69.4,28.9,65,32
CA-52,"Peters, Scott",Dem,58.1,35.6,52.1,45.7,55,43
CA-53,"Davis, Susan",Dem,64.5,29.6,61.4,36.4,61,36
CO-01,"DeGette, Diana",Dem,69,23.2,69,28.8,70.9,27.6
CO-02,"Polis, Jared",Dem,56.2,34.9,57.9,39.5,61.2,37.2
CO-03,"Tipton, Scott",Rep,40,52,45.8,51.8,48.4,49.9
CO-04,"Buck, Ken",Rep,34.3,57.4,39.2,58.5,41.9,56.4
CO-05,"Lamborn, Doug",Rep,33.2,57.2,38.3,59.1,39.7,58.8
CO-06,"Coffman, Mike",Rep,50.2,41.3,51.6,46.5,53.6,44.9
CO-07,"Perlmutter, Ed",Dem,51.4,39.4,56.1,41.3,57.4,40.7
CT-01,"Larson, John",Dem,59.4,36.3,63.3,35.6,65.8,32.9
CT-02,"Courtney, Joe",Dem,48.7,45.8,55.9,42.6,58.6,40
CT-03,"DeLauro, Rosa",Dem,55.9,40.4,62.6,36.3,62.6,36.2
CT-04,"Himes, Jim",Dem,59.6,36.6,55.1,44,59.6,39.7
CT-05,"Esty, Elizabeth",Dem,49.9,45.8,53.5,45.3,56.4,42.4
DE-AL,"Blunt Rochester, Lisa",Dem,53.4,41.9,58.6,40,61.9,36.9
FL-01,"Gaetz, Matt",Rep,28.2,67.5,30.1,68.5,32,66.8
FL-02,"Dunn, Neal",Rep,30.6,66.2,34,64.6,35.2,63.4
FL-03,"Yoho, Ted",Rep,40.2,56.2,41.9,56.6,44.2,54.6
FL-04,"Rutherford, John",Rep,34.1,62.1,32.8,66.1,34.8,64.2
