fips,election,candidate,party,vote
2,2000,George W. Bush,Republican,167398
2,2000,Albert Gore Jr.,Democratic,79004
2,2000,Ralph Nader,Green,28747
2,2000,Patrick Buchanan,Reform,5192
2,2000,Harry Browne,Libertarian,2636
2,2000,Write-ins,-,1068
2,2000,John Hagelin,Natural Law,919
2,2000,Howard Phillips,Constitution,596
1073,2000,George W. Bush,Republican,138491
1073,2000,Albert Gore Jr.,Democratic,129889
1073,2000,Ralph Nader,Independent,3393
1073,2000,Harry Browne,Libertarian,987
1073,2000,Patrick Buchanan,Independent,670
1073,2000,Write-ins,-,160
1073,2000,Howard Phillips,Independent,92
1073,2000,John Hagelin,Independent,81
1097,2000,George W. Bush,Republican,78162
1097,2000,Albert Gore Jr.,Democratic,58640
1097,2000,Ralph Nader,Independent,1585
1097,2000,Harry Browne,Libertarian,727
1097,2000,Patrick Buchanan,Independent,532
1097,2000,Write-ins,-,43
1097,2000,Howard Phillips,Independent,30
1097,2000,John Hagelin,Independent,26
1089,2000,George W. Bush,Republican,62151
1089,2000,Albert Gore Jr.,Democratic,48199
1089,2000,Ralph Nader,Independent,1885
1089,2000,Harry Browne,Libertarian,567
1089,2000,Patrick Buchanan,Independent,322
1089,2000,Write-ins,-,82
1089,2000,Howard Phillips,Independent,65
1089,2000,John Hagelin,Independent,47
1117,2000,George W. Bush,Republican,47651
1117,2000,Albert Gore Jr.,Democratic,13183
1117,2000,Ralph Nader,Independent,812
1117,2000,Harry Browne,Libertarian,281
1117,2000,Patrick Buchanan,Independent,123
1117,2000,Howard Phillips,Independent,39
1117,2000,Write-ins,-,26
1117,2000,John Hagelin,Independent,13
1101,2000,Albert Gore Jr.,Democratic,40371
1101,2000,George W. Bush,Republican,38827
1101,2000,Ralph Nader,Independent,677
1101,2000,Harry Browne,Libertarian,293
1101,2000,Patrick Buchanan,Independent,113
1101,2000,Write-ins,-,20
1101,2000,John Hagelin,Independent,17
1101,2000,Howard Phillips,Independent,10
1003,2000,George W. Bush,Republican,40872
1003,2000,Albert Gore Jr.,Democratic,13997
