"fips","county","state","dem","rep","other","election"
"01001","Autauga County","Alabama",4758,15196,127,2004
"01001","Autauga County","Alabama",6093,17403,145,2008
"01001","Autauga County","Alabama",6363,17379,231,2012
"01001","Autauga County","Alabama",5936,18172,,2016
"01003","Baldwin County","Alabama",15599,52971,750,2004
"01003","Baldwin County","Alabama",19386,61271,756,2008
"01003","Baldwin County","Alabama",18424,66016,1051,2012
"01003","Baldwin County","Alabama",18458,72883,,2016
"01005","Barbour County","Alabama",4832,5899,46,2004
"01005","Barbour County","Alabama",5697,5866,67,2008
"01005","Barbour County","Alabama",5912,5550,55,2012
"01005","Barbour County","Alabama",4871,5454,,2016
"01007","Bibb County","Alabama",2089,5472,39,2004
"01007","Bibb County","Alabama",2299,6262,83,2008
"01007","Bibb County","Alabama",2202,6132,86,2012
"01007","Bibb County","Alabama",1874,6738,,2016
"01009","Blount County","Alabama",3938,17386,180,2004
"01009","Blount County","Alabama",3522,20389,356,2008
"01009","Blount County","Alabama",2970,20757,333,2012
"01009","Blount County","Alabama",2156,22859,,2016
"01011","Bullock County","Alabama",3210,1494,13,2004
"01011","Bullock County","Alabama",4011,1391,13,2008
"01011","Bullock County","Alabama",4061,1251,10,2012
"01011","Bullock County","Alabama",3530,1140,,2016
"01013","Butler County","Alabama",3413,4979,24,2004
"01013","Butler County","Alabama",4188,5485,36,2008
"01013","Butler County","Alabama",4374,5087,41,2012
"01013","Butler County","Alabama",3726,4901,,2016
"01015","Calhoun County","Alabama",15083,29814,352,2004
"01015","Calhoun County","Alabama",16334,32348,560,2008
"01015","Calhoun County","Alabama",15511,30278,575,2012
"01015","Calhoun County","Alabama",13242,32865,,2016
"01017","Chambers County","Alabama",5347,7622,63,2004
"01017","Chambers County","Alabama",6799,8067,90,2008
"01017","Chambers County","Alabama",6871,7626,132,2012
"01017","Chambers County","Alabama",5784,7843,,2016
"01019","Cherokee County","Alabama",3040,5923,86,2004
"01019","Cherokee County","Alabama",2306,7298,141,2008
"01019","Cherokee County","Alabama",2132,7506,154,2012
"01019","Cherokee County","Alabama",1547,8953,,2016
"01021","Chilton County","Alabama",3778,12829,86,2004
"01021","Chilton County","Alabama",3674,13960,151,2008
"01021","Chilton County","Alabama",3397,13932,156,2012
"01021","Chilton County","Alabama",2911,15081,,2016
"01023","Choctaw County","Alabama",3303,3897,27,2004
"01023","Choctaw County","Alabama",3636,4223,35,2008
"01023","Choctaw County","Alabama",3786,4152,38,2012
"01023","Choctaw County","Alabama",3109,4106,,2016
"01025","Clarke County","Alabama",4627,6730,37,2004
"01025","Clarke County","Alabama",5914,7466,55,2008
"01025","Clarke County","Alabama",6334,7470,56,2012
"01025","Clarke County","Alabama",5749,7140,,2016
"01027","Clay County","Alabama",1893,4624,59,2004
"01027","Clay County","Alabama",1760,4984,75,2008
"01027","Clay County","Alabama",1777,4817,85,2012
"01027","Clay County","Alabama",1237,5245,,2016
"01029","Cleburne County","Alabama",1391,4370,37,2004
"01029","Cleburne County","Alabama",1168,5216,108,2008
"01029","Cleburne County","Alabama",971,5272,76,2012
"01029","Cleburne County","Alabama",684,5764,,2016
"01031","Coffee County","Alabama",4480,13019,117,2004
"01031","Coffee County","Alabama",5079,14919,130,2008
"01031","Coffee County","Alabama",4925,14666,230,2012
"01031","Coffee County","Alabama",4221,15875,,2016
"01033","Colbert County","Alabama",10598,13188,149,2004
"01033","Colbert County","Alabama",9703,14739,401,2008
"01033","Colbert County","Alabama",9166,13936,342,2012
"01033","Colbert County","Alabama",7312,16746,,2016
"01035","Conecuh County","Alabama",2719,3271,31,2004
"01035","Conecuh County","Alabama",3429,3470,44,2008
"01035","Conecuh County","Alabama",3555,3439,31,2012
"01035","Conecuh County","Alabama",3080,3420,,2016
"01037","Coosa County","Alabama",2055,2905,41,2004
"01037","Coosa County","Alabama",2273,3248,42,2008
"01037","Coosa County","Alabama",2191,3049,42,2012
"01037","Coosa County","Alabama",1782,3381,,2016
"01039","Covington County","Alabama",3423,11119,85,2004
