fips,election,candidate,party,vote
2,2004,George W. Bush,Republican,190889
2,2004,John Kerry,Democratic,111025
2,2004,Ralph Nader,Populist,5069
2,2004,Michael Peroutka,AK Independence,2092
2,2004,Michael Badnarik,AK Libertarian,1675
2,2004,David Cobb,Green,1058
2,2004,Write-ins,-,790
1073,2004,George W. Bush,AL Republican,158680
1073,2004,John Kerry,AL Democratic,132286
1073,2004,Ralph Nader,Independent,999
1073,2004,Michael Badnarik,Independent,567
1073,2004,Michael Peroutka,Independent,241
1073,2004,Write-ins,-,194
1097,2004,George W. Bush,AL Republican,92014
1097,2004,John Kerry,AL Democratic,63732
1097,2004,Ralph Nader,Independent,598
1097,2004,Michael Badnarik,Independent,211
1097,2004,Michael Peroutka,Independent,167
1097,2004,Write-ins,-,49
1089,2004,George W. Bush,AL Republican,77173
1089,2004,John Kerry,AL Democratic,52644
1089,2004,Ralph Nader,Independent,548
1089,2004,Michael Badnarik,Independent,438
1089,2004,Michael Peroutka,Independent,159
1089,2004,Write-ins,-,100
1117,2004,George W. Bush,AL Republican,63435
1117,2004,John Kerry,AL Democratic,14850
1117,2004,Ralph Nader,Independent,284
1117,2004,Michael Badnarik,Independent,190
1117,2004,Michael Peroutka,Independent,109
1117,2004,Write-ins,-,38
1101,2004,John Kerry,AL Democratic,45160
1101,2004,George W. Bush,AL Republican,44097
1101,2004,Ralph Nader,Independent,198
1101,2004,Michael Badnarik,Independent,124
1101,2004,Michael Peroutka,Independent,46
1101,2004,Write-ins,-,25
1003,2004,George W. Bush,AL Republican,52971
1003,2004,John Kerry,AL Democratic,15599
1003,2004,Ralph Nader,Independent,371
1003,2004,Michael Badnarik,Independent,269
1003,2004,Michael Peroutka,Independent,72
1003,2004,Write-ins,-,38
1125,2004,George W. Bush,AL Republican,42877
1125,2004,John Kerry,AL Democratic,26447
1125,2004,Ralph Nader,Independent,263
1125,2004,Michael Badnarik,Independent,110
1125,2004,Michael Peroutka,Independent,83
1125,2004,Write-ins,-,50
1081,2004,George W. Bush,AL Republican,27972
1081,2004,John Kerry,AL Democratic,16227
1081,2004,Ralph Nader,Independent,204
1081,2004,Michael Badnarik,Independent,170
1081,2004,Michael Peroutka,Independent,37
1103,2004,George W. Bush,AL Republican,32477
1103,2004,John Kerry,AL Democratic,14131
1103,2004,Ralph Nader,Independent,187
1103,2004,Michael Badnarik,Independent,114
1103,2004,Michael Peroutka,Independent,69
1103,2004,Write-ins,-,29
1015,2004,George W. Bush,AL Republican,29814
1015,2004,John Kerry,AL Democratic,15083
1015,2004,Ralph Nader,Independent,182
1015,2004,Michael Badnarik,Independent,96
1015,2004,Michael Peroutka,Independent,53
1015,2004,Write-ins,-,21
1055,2004,George W. Bush,AL Republican,26999
1055,2004,John Kerry,AL Democratic,15328
1055,2004,Ralph Nader,Independent,196
1055,2004,Michael Badnarik,Independent,99
1055,2004,Michael Peroutka,Independent,43
1055,2004,Write-ins,-,15
1069,2004,George W. Bush,AL Republican,26874
1069,2004,John Kerry,AL Democratic,9144
1069,2004,Ralph Nader,Independent,91
1069,2004,Michael Peroutka,Independent,38
1069,2004,Michael Badnarik,Independent,37
1069,2004,Write-ins,-,17
1083,2004,George W. Bush,AL Republican,19702
1083,2004,John Kerry,AL Democratic,9126
1083,2004,Ralph Nader,Independent,120
1083,2004,Michael Peroutka,Independent,56
1083,2004,Michael Badnarik,Independent,54
1083,2004,Write-ins,-,15
1077,2004,George W. Bush,AL Republican,22161
1077,2004,John Kerry,AL Democratic,14628
1077,2004,Ralph Nader,Independent,155
1077,2004,Michael Badnarik,Independent,80
1077,2004,Michael Peroutka,Independent,57
1077,2004,Write-ins,-,26
1115,2004,George W. Bush,AL Republican,23500
1115,2004,John Kerry,AL Democratic,5456
1115,2004,Ralph Nader,Independent,96
1115,2004,Michael Badnarik,Independent,50
1115,2004,Michael Peroutka,Independent,45
1115,2004,Write-ins,-,14
1043,2004,George W. Bush,AL Republican,26818
1043,2004,John Kerry,AL Democratic,8045
1043,2004,Ralph Nader,Independent,155
1043,2004,Michael Peroutka,Independent,75
1043,2004,Michael Badnarik,Independent,64
1043,2004,Write-ins,-,34
1051,2004,George W. Bush,AL Republican,22056
1051,2004,John Kerry,AL Democratic,6471
1051,2004,Ralph Nader,Independent,68
1051,2004,Michael Badnarik,Independent,48
1051,2004,Michael Peroutka,Independent,30
1051,2004,Write-ins,-,7
1095,2004,George W. Bush,AL Republican,22783
1095,2004,John Kerry,AL Democratic,8452
1095,2004,Ralph Nader,Independent,155
1095,2004,Michael Badnarik,Independent,60
1095,2004,Michael Peroutka,Independent,30
1095,2004,Write-ins,-,11
1121,2004,George W. Bush,AL Republican,18331
1121,2004,John Kerry,AL Democratic,11374
1121,2004,Ralph Nader,Independent,89
1121,2004,Michael Badnarik,Independent,50
1121,2004,Michael Peroutka,Independent,45
1121,2004,Write-ins,-,9
1127,2004,George W. Bush,AL Republican,19167
1127,2004,John Kerry,AL Democratic,9016
1127,2004,Ralph Nader,Independent,108
1127,2004,Michael Peroutka,Independent,33
1127,2004,Michael Badnarik,Independent,27
1127,2004,Write-ins,-,16
1049,2004,George W. Bush,AL Republican,16904
1049,2004,John Kerry,AL Democratic,7092
1049,2004,Ralph Nader,Independent,99
1049,2004,Michael Badnarik,Independent,34
1049,2004,Michael Peroutka,Independent,27
1049,2004,Write-ins,-,13
1009,2004,George W. Bush,AL Republican,17386
1009,2004,John Kerry,AL Democratic,3938
1009,2004,Ralph Nader,Independent,92
1009,2004,Michael Badnarik,Independent,47
1009,2004,Michael Peroutka,Independent,31
1009,2004,Write-ins,-,10
1001,2004,George W. Bush,AL Republican,15196
1001,2004,John Kerry,AL Democratic,4758
1001,2004,Ralph Nader,Independent,74
1001,2004,Michael Badnarik,Independent,24
1001,2004,Michael Peroutka,Independent,21
1001,2004,Write-ins,-,8
1033,2004,George W. Bush,AL Republican,13188
1033,2004,John Kerry,AL Democratic,10598
1033,2004,Ralph Nader,Independent,88
1033,2004,Michael Badnarik,Independent,34
1033,2004,Michael Peroutka,Independent,18
1033,2004,Write-ins,-,9
1071,2004,George W. Bush,AL Republican,11534
1071,2004,John Kerry,AL Democratic,8635
1071,2004,Ralph Nader,Independent,92
1071,2004,Michael Badnarik,Independent,28
1071,2004,Michael Peroutka,Independent,17
1071,2004,Write-ins,-,15
1031,2004,George W. Bush,AL Republican,13019
1031,2004,John Kerry,AL Democratic,4480
1031,2004,Ralph Nader,Independent,73
1031,2004,Michael Badnarik,Independent,22
1031,2004,Michael Peroutka,Independent,16
1031,2004,Write-ins,-,6
1123,2004,George W. Bush,AL Republican,12392
1123,2004,John Kerry,AL Democratic,5451
1123,2004,Ralph Nader,Independent,53
1123,2004,Michael Badnarik,Independent,31
1123,2004,Michael Peroutka,Independent,17
1123,2004,Write-ins,-,8
1113,2004,John Kerry,AL Democratic,8375
1113,2004,George W. Bush,AL Republican,8337
1113,2004,Ralph Nader,Independent,51
1113,2004,Michael Badnarik,Independent,26
1113,2004,Write-ins,-,13
1113,2004,Michael Peroutka,Independent,7
1047,2004,John Kerry,AL Democratic,11175
1047,2004,George W. Bush,AL Republican,7335
1047,2004,Ralph Nader,Independent,28
1047,2004,Michael Peroutka,Independent,19
1047,2004,Michael Badnarik,Independent,13
1047,2004,Write-ins,-,3
1045,2004,George W. Bush,AL Republican,13621
1045,2004,John Kerry,AL Democratic,4484
1045,2004,Ralph Nader,Independent,75
1045,2004,Michael Badnarik,Independent,24
1045,2004,Michael Peroutka,Independent,20
1045,2004,Write-ins,-,7
1021,2004,George W. Bush,AL Republican,12829
1021,2004,John Kerry,AL Democratic,3778
1021,2004,Ralph Nader,Independent,46
1021,2004,Michael Badnarik,Independent,22
1021,2004,Michael Peroutka,Independent,15
1021,2004,Write-ins,-,3
1039,2004,George W. Bush,AL Republican,11119
1039,2004,John Kerry,AL Democratic,3423
1039,2004,Ralph Nader,Independent,37
1039,2004,Michael Peroutka,Independent,33
1039,2004,Michael Badnarik,Independent,12
1039,2004,Write-ins,-,3
1053,2004,George W. Bush,AL Republican,8513
1053,2004,John Kerry,AL Democratic,3814
1053,2004,Ralph Nader,Independent,28
1053,2004,Michael Peroutka,Independent,20
1053,2004,Michael Badnarik,Independent,13
1053,2004,Write-ins,-,7
1079,2004,George W. Bush,AL Republican,7730
1079,2004,John Kerry,AL Democratic,6155
1079,2004,Ralph Nader,Independent,44
1079,2004,Michael Peroutka,Independent,34
1079,2004,Michael Badnarik,Independent,29
1079,2004,Write-ins,-,9
1017,2004,George W. Bush,AL Republican,7622
1017,2004,John Kerry,AL Democratic,5347
1017,2004,Ralph Nader,Independent,42
1017,2004,Michael Badnarik,Independent,17
1017,2004,Michael Peroutka,Independent,4
1109,2004,George W. Bush,AL Republican,7483
1109,2004,John Kerry,AL Democratic,4334
1109,2004,Ralph Nader,Independent,44
1109,2004,Michael Badnarik,Independent,16
1109,2004,Michael Peroutka,Independent,3
1109,2004,Write-ins,-,3
1025,2004,George W. Bush,AL Republican,6730
1025,2004,John Kerry,AL Democratic,4627
1025,2004,Ralph Nader,Independent,19
1025,2004,Michael Peroutka,Independent,9
1025,2004,Michael Badnarik,Independent,8
1025,2004,Write-ins,-,1
1093,2004,George W. Bush,AL Republican,8983
1093,2004,John Kerry,AL Democratic,3808
1093,2004,Ralph Nader,Independent,61
1093,2004,Michael Peroutka,Independent,10
1093,2004,Michael Badnarik,Independent,9
1093,2004,Write-ins,-,4
1059,2004,George W. Bush,AL Republican,7690
1059,2004,John Kerry,AL Democratic,4514
1059,2004,Ralph Nader,Independent,48
1059,2004,Michael Badnarik,Independent,9
1059,2004,Michael Peroutka,Independent,4
1059,2004,Write-ins,-,4
1061,2004,George W. Bush,AL Republican,8342
1061,2004,John Kerry,AL Democratic,2113
1061,2004,Ralph Nader,Independent,27
1061,2004,Michael Badnarik,Independent,22
1061,2004,Michael Peroutka,Independent,12
1061,2004,Write-ins,-,4
1091,2004,George W. Bush,AL Republican,5255
1091,2004,John Kerry,AL Democratic,5037
1091,2004,Ralph Nader,Independent,16
1091,2004,Michael Badnarik,Independent,10
1091,2004,Michael Peroutka,Independent,3
1091,2004,Write-ins,-,1
1019,2004,George W. Bush,AL Republican,5923
1019,2004,John Kerry,AL Democratic,3040
1019,2004,Ralph Nader,Independent,43
1019,2004,Michael Badnarik,Independent,22
1019,2004,Michael Peroutka,Independent,15
1019,2004,Write-ins,-,6
1005,2004,George W. Bush,AL Republican,5899
1005,2004,John Kerry,AL Democratic,4832
1005,2004,Ralph Nader,Independent,26
1005,2004,Michael Badnarik,Independent,12
1005,2004,Michael Peroutka,Independent,7
1005,2004,Write-ins,-,1
1133,2004,George W. Bush,AL Republican,8130
1133,2004,John Kerry,AL Democratic,2236
1133,2004,Ralph Nader,Independent,34
1133,2004,Michael Badnarik,Independent,11
1133,2004,Michael Peroutka,Independent,8
1133,2004,Write-ins,-,4
1099,2004,George W. Bush,AL Republican,5831
1099,2004,John Kerry,AL Democratic,3666
1099,2004,Ralph Nader,Independent,23
1099,2004,Michael Peroutka,Independent,6
1099,2004,Michael Badnarik,Independent,5
1099,2004,Write-ins,-,3
1111,2004,George W. Bush,AL Republican,6127
1111,2004,John Kerry,AL Democratic,2817
1111,2004,Ralph Nader,Independent,35
1111,2004,Michael Badnarik,Independent,15
1111,2004,Write-ins,-,4
