state,county,trump,clinton
Alabama,Jefferson,134768,156873
Alabama,Mobile,95116,72186
Alabama,Madison,89520,62822
Alabama,Shelby,73020,22977
Alabama,Montgomery,34003,58916
Alabama,Baldwin,72883,18458
Alabama,Tuscaloosa,47723,31762
Alabama,Lee,34617,21230
Alabama,Morgan,37486,11254
Alabama,Calhoun,32865,13242
Alabama,Etowah,32353,10442
Alabama,Houston,30728,10664
Alabama,Limestone,29067,9468
Alabama,Lauderdale,27899,9952
Alabama,St. Clair,31651,5589
Alabama,Cullman,32989,3798
Alabama,Elmore,27634,8443
Alabama,Marshall,29233,4917
Alabama,Talladega,20614,12121
Alabama,Walker,24266,4497
Alabama,DeKalb,21405,3622
Alabama,Blount,22859,2156
Alabama,Autauga,18172,5936
Alabama,Colbert,16746,7312
Alabama,Jackson,16672,3673
Alabama,Coffee,15875,4221
Alabama,Tallapoosa,13594,5519
Alabama,Russell,9210,9579
Alabama,Dallas,5789,12836
Alabama,Dale,13808,4413
Alabama,Chilton,15081,2911
Alabama,Covington,13267,2387
Alabama,Escambia,9935,4605
Alabama,Lawrence,10833,3627
Alabama,Chambers,7843,5784
Alabama,Pike,7693,5056
Alabama,Clarke,7140,5749
Alabama,Marion,11274,1432
Alabama,Franklin,9466,2197
Alabama,Geneva,9994,1525
Alabama,Marengo,5233,5615
Alabama,Cherokee,8953,1547
Alabama,Barbour,5454,4871
Alabama,Winston,9228,872
Alabama,Monroe,5795,4332
Alabama,Randolph,7705,2291
Alabama,Pickens,5456,3972
Alabama,Macon,1431,7566
Alabama,Bibb,6738,1874
Alabama,Butler,4901,3726
Alabama,Washington,6042,2374
Alabama,Fayette,6712,1362
Alabama,Henry,5632,2292
Alabama,Hale,3173,4775
Alabama,Choctaw,4106,3109
Alabama,Lamar,5823,1036
Alabama,Lowndes,1751,4883
Alabama,Clay,5245,1237
Alabama,Cleburne,5764,684
Alabama,Conecuh,3420,3080
Alabama,Sumter,1581,4746
Alabama,Crenshaw,4513,1664
Alabama,Wilcox,1742,4339
Alabama,Perry,1407,3824
Alabama,Coosa,3381,1782
Alabama,Greene,838,4013
Alabama,Bullock,1140,3530
Alaska,At large,163387,116454
Arizona,Maricopa,747361,702907
Arizona,Pima,167428,224661
Arizona,Pinal,72819,47892
Arizona,Yavapai,71330,35590
Arizona,Mohave,58282,17455
Arizona,Coconino,21108,32404
Arizona,Yuma,25165,24605
Arizona,Cochise,28092,17450
Arizona,Navajo,20577,16459
Arizona,Apache,8240,17083
Arizona,Gila,14182,7003
Arizona,Santa Cruz,3897,11690
Arizona,Graham,8025,3301
Arizona,La Paz,4003,1575
Arizona,Greenlee,1892,1092
Arkansas,Pulaski,61257,89574
Arkansas,Benton,60871,28005
Arkansas,Washington,41476,33366
