fips,county,state,year,candidate,vote
10003,New Castle,DE,2012,Obama,167082
10001,Kent,DE,2012,Obama,35527
10005,Sussex,DE,2012,Obama,39975
10003,New Castle,DE,2012,Romney,81230
10001,Kent,DE,2012,Romney,32135
10005,Sussex,DE,2012,Romney,52119
10003,New Castle,DE,2012,Other,1198
10001,Kent,DE,2012,Other,333
10005,Sussex,DE,2012,Other,409
10003,New Castle,DE,2012,Other,2486
10001,Kent,DE,2012,Other,677
10005,Sussex,DE,2012,Other,719
25023,Plymouth,MA,2012,Obama,131845
25023,Plymouth,MA,2012,Romney,121086
25023,Plymouth,MA,2012,Other,2103
25023,Plymouth,MA,2012,Other,939
25023,Plymouth,MA,2012,Other,558
25017,Middlesex,MA,2012,Obama,471804
25017,Middlesex,MA,2012,Romney,267321
25017,Middlesex,MA,2012,Other,7763
25017,Middlesex,MA,2012,Other,5759
25017,Middlesex,MA,2012,Other,1523
25005,Bristol,MA,2012,Obama,142962
25005,Bristol,MA,2012,Romney,93752
25005,Bristol,MA,2012,Other,2645
25005,Bristol,MA,2012,Other,1647
25005,Bristol,MA,2012,Other,503
25003,Berkshire,MA,2012,Obama,48843
25003,Berkshire,MA,2012,Romney,14252
25003,Berkshire,MA,2012,Other,729
25003,Berkshire,MA,2012,Other,557
25003,Berkshire,MA,2012,Other,105
25013,Hampden,MA,2012,Obama,123619
25013,Hampden,MA,2012,Romney,73392
25013,Hampden,MA,2012,Other,1866
25013,Hampden,MA,2012,Other,1083
25013,Hampden,MA,2012,Other,439
25009,Essex,MA,2012,Obama,210302
25009,Essex,MA,2012,Romney,150480
25009,Essex,MA,2012,Other,3452
25009,Essex,MA,2012,Other,1460
25009,Essex,MA,2012,Other,663
25015,Hampshire,MA,2012,Obama,57359
25015,Hampshire,MA,2012,Romney,21480
25015,Hampshire,MA,2012,Other,974
25015,Hampshire,MA,2012,Other,1576
25015,Hampshire,MA,2012,Other,232
25007,Dukes,MA,2012,Obama,7978
25007,Dukes,MA,2012,Romney,2792
25007,Dukes,MA,2012,Other,80
25007,Dukes,MA,2012,Other,90
25007,Dukes,MA,2012,Other,28
25027,Worcester,MA,2012,Obama,198244
25027,Worcester,MA,2012,Romney,163390
25027,Worcester,MA,2012,Other,4381
25027,Worcester,MA,2012,Other,2158
25027,Worcester,MA,2012,Other,939
25011,Franklin,MA,2012,Obama,27072
25011,Franklin,MA,2012,Romney,9344
25011,Franklin,MA,2012,Other,459
25011,Franklin,MA,2012,Other,781
25011,Franklin,MA,2012,Other,102
25021,Norfolk,MA,2012,Obama,202714
25021,Norfolk,MA,2012,Romney,148393
25021,Norfolk,MA,2012,Other,3050
25021,Norfolk,MA,2012,Other,1641
