fips,county,state,year,candidate,vote
1073,Jefferson,Alabama,2016,Clinton,156873
1073,Jefferson,Alabama,2016,Trump,134768
1097,Mobile,Alabama,2016,Clinton,72186
1097,Mobile,Alabama,2016,Trump,95116
1089,Madison,Alabama,2016,Clinton,62822
1089,Madison,Alabama,2016,Trump,89520
1117,Shelby,Alabama,2016,Clinton,22977
1117,Shelby,Alabama,2016,Trump,73020
1101,Montgomery,Alabama,2016,Clinton,58916
1101,Montgomery,Alabama,2016,Trump,34003
1003,Baldwin,Alabama,2016,Clinton,18458
1003,Baldwin,Alabama,2016,Trump,72883
1125,Tuscaloosa,Alabama,2016,Clinton,31762
1125,Tuscaloosa,Alabama,2016,Trump,47723
1081,Lee,Alabama,2016,Clinton,21230
1081,Lee,Alabama,2016,Trump,34617
1103,Morgan,Alabama,2016,Clinton,11254
1103,Morgan,Alabama,2016,Trump,37486
1015,Calhoun,Alabama,2016,Clinton,13242
1015,Calhoun,Alabama,2016,Trump,32865
1055,Etowah,Alabama,2016,Clinton,10442
1055,Etowah,Alabama,2016,Trump,32353
1069,Houston,Alabama,2016,Clinton,10664
1069,Houston,Alabama,2016,Trump,30728
1083,Limestone,Alabama,2016,Clinton,9468
1083,Limestone,Alabama,2016,Trump,29067
1077,Lauderdale,Alabama,2016,Clinton,9952
1077,Lauderdale,Alabama,2016,Trump,27899
1115,St. Clair,Alabama,2016,Clinton,5589
1115,St. Clair,Alabama,2016,Trump,31651
1043,Cullman,Alabama,2016,Clinton,3798
1043,Cullman,Alabama,2016,Trump,32989
1051,Elmore,Alabama,2016,Clinton,8443
1051,Elmore,Alabama,2016,Trump,27634
1095,Marshall,Alabama,2016,Clinton,4917
1095,Marshall,Alabama,2016,Trump,29233
1121,Talladega,Alabama,2016,Clinton,12121
1121,Talladega,Alabama,2016,Trump,20614
1127,Walker,Alabama,2016,Clinton,4497
1127,Walker,Alabama,2016,Trump,24266
1049,DeKalb,Alabama,2016,Clinton,3622
1049,DeKalb,Alabama,2016,Trump,21405
1009,Blount,Alabama,2016,Clinton,2156
1009,Blount,Alabama,2016,Trump,22859
1001,Autauga,Alabama,2016,Clinton,5936
1001,Autauga,Alabama,2016,Trump,18172
1033,Colbert,Alabama,2016,Clinton,7312
1033,Colbert,Alabama,2016,Trump,16746
1071,Jackson,Alabama,2016,Clinton,3673
1071,Jackson,Alabama,2016,Trump,16672
1031,Coffee,Alabama,2016,Clinton,4221
1031,Coffee,Alabama,2016,Trump,15875
1123,Tallapoosa,Alabama,2016,Clinton,5519
1123,Tallapoosa,Alabama,2016,Trump,13594
1113,Russell,Alabama,2016,Clinton,9579
1113,Russell,Alabama,2016,Trump,9210
1047,Dallas,Alabama,2016,Clinton,12836
1047,Dallas,Alabama,2016,Trump,5789
1045,Dale,Alabama,2016,Clinton,4413
1045,Dale,Alabama,2016,Trump,13808
1021,Chilton,Alabama,2016,Clinton,2911
1021,Chilton,Alabama,2016,Trump,15081
1039,Covington,Alabama,2016,Clinton,2387
1039,Covington,Alabama,2016,Trump,13267
1053,Escambia,Alabama,2016,Clinton,4605
1053,Escambia,Alabama,2016,Trump,9935
1079,Lawrence,Alabama,2016,Clinton,3627
1079,Lawrence,Alabama,2016,Trump,10833
1017,Chambers,Alabama,2016,Clinton,5784
1017,Chambers,Alabama,2016,Trump,7843
1109,Pike,Alabama,2016,Clinton,5056
1109,Pike,Alabama,2016,Trump,7693
1025,Clarke,Alabama,2016,Clinton,5749
1025,Clarke,Alabama,2016,Trump,7140
1093,Marion,Alabama,2016,Clinton,1432
1093,Marion,Alabama,2016,Trump,11274
1059,Franklin,Alabama,2016,Clinton,2197
1059,Franklin,Alabama,2016,Trump,9466
